,date_x,reportedCurrency,grossProfit,revenue,costOfRevenue,depreciationAndAmortization,ebitda,operatingIncome,incomeBeforeTax,netIncome,eps,ebit,Fiscal Year,date_y,totalAssets,totalCurrentAssets,cashAndCashEquivalents,shortTermDebt,totalCurrentLiabilities,longTermDebt,totalNonCurrentLiabilities,totalLiabilities,commonStock,totalStockholdersEquity,totalDebt,netDebt,date,OperatingCashFlow,CapitalExpenditure,Gross Margin,Net Profit Margin,EBIT Margin,Free Cash Flow,ROE,Revenue % Change,OCF % Change,FCF % Change,Average Revenue Growth,Average OCF Growth,Average FCF Growth,sharesOutstanding
0,2022-09-24,USD,170782000000,394328000000,223546000000,11104000000,133138000000,119437000000,119103000000,99803000000,6.15,122034000000,2022,2022-09-24,352755000000,135405000000,23646000000,21110000000,153982000000,98959000000,148101000000,302083000000,64849000000,50672000000,120069000000,96423000000,2022-09-30,122151000000,10708000000,43.30963056136009,25.309640705199733,30.947333184557017,132859000000,196.95887275023682,7.79,17.41,15.41,11.13,13.06,11.11,15908100000
1,2021-09-25,USD,152836000000,365817000000,212981000000,11284000000,123136000000,108949000000,109207000000,94680000000,5.67,111852000000,2021,2021-09-25,351002000000,134836000000,34940000000,15613000000,125481000000,109106000000,162431000000,287912000000,57365000000,63090000000,124719000000,89779000000,2021-09-30,104038000000,11085000000,41.77935962516778,25.88179335569424,30.5759437095597,115123000000,150.07132667617688,33.26,28.96,30.85,11.13,13.06,11.11,
2,2020-09-26,USD,104956000000,274515000000,169559000000,11056000000,81020000000,66288000000,67091000000,57411000000,3.31,69964000000,2020,2020-09-26,323888000000,143713000000,38016000000,13769000000,105392000000,98667000000,153157000000,258549000000,50779000000,65339000000,112436000000,74420000000,2020-09-30,80674000000,7309000000,38.23324772781086,20.913611278072235,25.486403293080524,87983000000,87.86635853012748,5.51,16.26,10.14,11.13,13.06,11.11,
3,2019-09-28,USD,98392000000,260174000000,161782000000,12547000000,81860000000,63930000000,65737000000,55256000000,2.9925,69313000000,2019,2019-09-28,338516000000,162819000000,48844000000,16240000000,105718000000,91807000000,142310000000,248028000000,45174000000,90488000000,108047000000,59203000000,2019-09-30,69391000000,10495000000,37.81776810903472,21.238094505984456,26.64101716543544,79886000000,61.06445053487756,-2.04,-10.39,-11.97,11.13,13.06,11.11,
4,2018-09-29,USD,101839000000,265595000000,163756000000,10903000000,87046000000,70898000000,72903000000,59531000000,3.0025,76143000000,2018,2018-09-29,365725000000,131339000000,25913000000,20748000000,116866000000,93735000000,141712000000,258578000000,40201000000,107147000000,114483000000,88570000000,2018-09-30,77434000000,13313000000,38.34371882000791,22.414202074587248,28.668837892279598,90747000000,55.56011834209077,,,,11.13,13.06,11.11,
