Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,conversion_line,base_line,leading_span_A,leading_span_B,lagging_span
2018-01-16 00:00:00-05:00,42.29126946568131,42.64548096640465,41.87287483667402,41.884761810302734,118263600,0.0,0.0,,,,,,,,,,41.17474365234375
2018-01-17 00:00:00-05:00,41.87525036484634,42.61219919377196,41.61851059946848,42.576541900634766,137547200,0.0,0.0,0.01651627132237543,0.01651627132237543,,,,,,,,41.890830993652344
2018-01-18 00:00:00-05:00,42.64071668862975,42.81425848767629,42.374465945558484,42.614566802978516,124773600,0.0,0.0,0.0008930951328196546,0.01742411705672553,,,,,,,,42.71909713745117
2018-01-19 00:00:00-05:00,42.460053806721945,42.690647300271564,42.17478458990233,42.42439651489258,129700400,0.0,0.0,-0.004462565323382517,0.012883795472775184,,,,,,,,42.580650329589844
2018-01-22 00:00:00-05:00,42.14863449488609,42.262741455579395,41.982227754834405,42.07731628417969,108434400,0.0,0.0,-0.00818114715175855,0.00459724409438067,,,,,,,,42.516204833984375
2018-01-23 00:00:00-05:00,42.148640957367185,42.657372284895395,42.034533979178306,42.086830139160156,130756400,0.0,0.0,0.00022610412974577443,0.004824387680001596,,,,,,,,41.7714729309082
2018-01-24 00:00:00-05:00,42.13674144848315,42.148628419786704,41.17395481120537,41.41643524169922,204420400,0.0,0.0,-0.015928852214440403,-0.011181311492818757,,,,,,,,42.060306549072266
2018-01-25 00:00:00-05:00,41.4853719931746,41.589971532079105,40.53922788403742,40.67710876464844,166116000,0.0,0.0,-0.01785104084251088,-0.028832754287198448,,,,,,,,42.20590591430664
2018-01-26 00:00:00-05:00,40.88869953672034,40.88869953672034,40.42751246156241,40.772212982177734,156572000,0.0,0.0,0.002338027957679012,-0.026562138115139744,,,,41.85147901219831,,,,42.17009735107422
2018-01-29 00:00:00-05:00,40.451270119964114,40.451270119964114,39.7167010447194,39.92827606201172,202561600,0.0,0.0,-0.020698825460735093,-0.04671115851516561,,,,41.6327643038202,,,,41.778648376464844
